BomDate,SalesVolume
2015-01-01,975
2015-02-01,1013
2015-03-01,1049
2015-04-01,1148
2015-05-01,1144
2015-06-01,1496
2015-07-01,1568
2015-08-01,1410
2015-09-01,1345
2015-10-01,1294
2015-11-01,1067
2015-12-01,1263
2016-01-01,996
2016-02-01,823
2016-03-01,1239
2016-04-01,1029
2016-05-01,1180
2016-06-01,1346
2016-07-01,1132
2016-08-01,1309
2016-09-01,1147
2016-10-01,967
2016-11-01,943
2016-12-01,1072
2017-01-01,1124
2017-02-01,986
2017-03-01,1068
2017-04-01,932
2017-05-01,1268
2017-06-01,1431
2017-07-01,1125
2017-08-01,1461
2017-09-01,1072
2017-10-01,1031
2017-11-01,936
2017-12-01,1008
2018-01-01,929
2018-02-01,810
2018-03-01,948
2018-04-01,928
2018-05-01,1083
2018-06-01,1154
2018-07-01,1106
2018-08-01,1194
2018-09-01,852
2018-10-01,1054
2018-11-01,819
2018-12-01,880
2019-01-01,738
2019-02-01,788
2019-03-01,865
2019-04-01,972
2019-05-01,1144
2019-06-01,1503
2019-07-01,971
2019-08-01,928
2019-09-01,934
2019-10-01,891
