,Manhattan Parks,latitude,longitude
0,"Bowling Green, New York",40.7049774,-74.0136509
1,"Bryant Park, New York",40.7535965,-73.9832326
2,"City Hall Park, New York",40.7124142,-74.0065164
3,"De Witt Clinton Park, New York",40.7680708,-73.9942897
4,"East River Waterfront Esplanade, New York",40.7048023,-74.0035222
5,"Fort Tryon Park, New York",40.8625608,-73.9312995
6,"Fort Washington Park, New York",40.8506713,-73.9452115
7,"Harlem River Park, New York",40.8058366,-73.9335143
8,"Holcombe Rucker Park, New York",40.8291747,-73.9361266
9,"Imagination Playground, New York",40.7062786,-74.0041962
10,"Inwood Hill Park, New York",40.8722007,-73.9255549
11,"Isham Park, New York",40.8693662,-73.9188694
12,"J. Hood Wright Park, New York",40.8463679,-73.941493
13,"Jackie Robinson Park, New York",40.824308,-73.942442
14,"Madison Square Park, New York",40.7425999,-73.9877701
15,"Marcus Garvey Park, New York",40.8044257,-73.9437629
16,"Morningside Park, New York",40.8060712,-73.9585391
17,"Randall's Island Park, New York",40.795813,-73.922517
18,"Riverside Park South, New York",40.7772489,-73.9895416
19,"Sara D. Roosevelt Park, New York",40.7162705,-73.9943035
20,"Seward Park, New York",40.7149056,-73.989247
21,"St. Nicholas Park, New York",40.8174689,-73.9487476
22,"Stuyvesant Square, New York",40.7339465,-73.9841048
23,"The Battery, New York",40.7032775,-74.0170279
24,"The High Line, New York",40.7479925,-74.0047649
25,"Thomas Jefferson Park, New York",40.7933657,-73.9352473
26,"Tompkins Square Park, New York",40.7264295,-73.9817841
27,"Union Square Park, New York",40.7358633,-73.9910835
28,"Washington Square Park, New York",40.7308228,-73.997332
29,"500 Central Park West, New York",40.8003751,-73.958433
30,"450 Central Park West, New York",40.797245,-73.9606312
31,"400 Central Park West, New York",40.7940232,-73.9632109
32,"350 Central Park West, New York",40.7906666,-73.9658766
33,"300 Central Park West, New York",40.7882884,-73.9674607
34,"250 Central Park West, New York",40.7844517,-73.969943
35,"200 Central Park West, New York",40.7812654,-73.9738201
36,"150 Central Park West, New York",40.7783756,-73.9744001
37,"100 Central Park West, New York",40.7742511,-73.9776121
38,"50 Central Park West, New York",40.7718092,-73.9796283
39,"5 Central Park West, New York",40.7689678,-73.9812681
40,"50 Central Park South, New York",40.7653266,-73.9760929
41,"100 Central Park South, New York",40.7655851,-73.9765899
42,"150 Central Park South, New York",40.7660708,-73.9779146
43,"200 Central Park South, New York",40.7666871,-73.9795594
44,"750 5th Avenue, New York",40.7634351,-73.9740497
45,"800 5th Avenue, New York",40.7657125,-73.9715764
46,"850 5th Avenue, New York",40.7687023,-73.9694351
47,"900 5th Avenue, New York",40.7718918,-73.9672362
48,"950 5th Avenue, New York",40.7750262,-73.9647975
49,"1000 5th Avenue, New York",40.7791655,-73.9629278
50,"1050 5th Avenue, New York",40.7816743,-73.9600313
51,"1100 5th Avenue, New York",40.784748,-73.957566
52,"1150 5th Avenue, New York",40.7879467,-73.9552923
53,"1200 5th Avenue, New York",40.7912556,-73.953147
54,"1250 5th Avenue, New York",40.7946558,-73.9505396
55,"1300 5th Avenue, New York",40.7971931,-73.949262
56,"1 Central Park North, New York",40.7972293,-73.9499938
57,"51 Central Park North, New York",40.7981733,-73.951678
58,"101 Central Park North, New York",40.7986897,-73.9529638
59,"151 Central Park North, New York",40.7993374,-73.9544988
60,"201 Central Park North, New York",40.7994755,-73.955377
61,"249 Central Park North, New York",40.8005419,-73.9573165
62,"1 River Drive, New York",40.7804427,-73.9852756
63,"50 River Drive, New York",42.0578829,-73.92234
65,"150 River Drive, New York",40.7906722,-73.9793528
68,"300 River Drive, New York",44.9290917,-75.0524574
71,"450 River Drive, New York",40.737824,-73.9748078
73,"550 River Drive, New York",40.736485,-73.9746764
